building_size_m2,land_size_m2,floors,bedrooms,bathrooms,building_age,price_in_rupiah(juta)
80.0,126.0,2.0,2.0,2.0,,1500.0
105.0,105.0,2.0,3.0,2.0,,1500.0
200.0,325.0,3.0,4.0,4.0,,4300.0
90.0,90.0,2.0,2.0,2.0,,1300.0
90.0,90.0,2.0,2.0,2.0,,1300.0
80.0,133.0,2.0,2.0,2.0,,1800.0
60.0,36.0,1.0,3.0,1.0,,520.0
56.0,84.0,2.0,2.0,2.0,4.0,1300.0
110.0,94.0,1.0,2.0,1.0,6.0,685.0
70.0,105.0,1.0,2.0,1.0,6.0,930.0
110.0,94.0,1.0,2.0,1.0,6.0,685.0
150.0,180.0,2.0,4.0,3.0,,2100.0
45.0,60.0,1.0,3.0,1.0,,520.0
45.0,60.0,1.0,3.0,1.0,,520.0
63.0,119.0,1.0,2.0,1.0,7.0,1200.0
63.0,119.0,1.0,2.0,1.0,,1200.0
121.0,144.0,1.0,,,,2170.0
225.0,131.0,2.0,4.0,3.0,,1450.0
53.0,90.0,2.0,2.0,2.0,,1200.0
225.0,131.0,2.0,4.0,3.0,,1450.0
69.0,108.0,2.0,2.0,2.0,,1400.0
70.0,96.0,1.0,2.0,1.0,,620.0
110.0,144.0,1.0,2.0,2.0,,1450.0
120.0,144.0,1.0,3.0,2.0,,1800.0
260.0,160.0,2.0,3.0,2.0,,1600.0
280.0,160.0,2.0,4.0,5.0,,3000.0
280.0,160.0,2.0,4.0,5.0,,3000.0
260.0,120.0,2.0,3.0,2.0,,1600.0
120.0,144.0,1.0,3.0,2.0,,1800.0
175.0,270.0,2.0,3.0,3.0,,2700.0
69.0,108.0,2.0,2.0,2.0,,1400.0
63.0,53.0,2.0,3.0,2.0,0.0,970.0
55.0,60.0,2.0,2.0,1.0,0.0,575.0
69.0,72.0,2.0,3.0,2.0,2.0,900.0
110.0,60.0,3.0,3.0,3.0,0.0,1250.0
42.0,72.0,1.0,3.0,1.0,0.0,525.0
38.0,70.0,1.0,2.0,1.0,0.0,510.0
120.0,92.0,2.0,2.0,2.0,7.0,895.0
110.0,135.0,2.0,4.0,3.0,,2500.0
180.0,165.0,2.0,4.0,3.0,7.0,1650.0
75.0,94.0,1.0,1.0,1.0,1.0,690.0
54.0,78.0,1.0,2.0,1.0,1.0,750.0
83.0,78.0,2.0,3.0,3.0,0.0,764.0
83.0,78.0,2.0,3.0,3.0,0.0,764.0
40.0,60.0,1.0,2.0,2.0,1.0,42.0
150.0,77.0,3.0,3.0,3.0,,1400.0
48.0,60.0,2.0,2.0,2.0,0.0,500.0
63.0,66.0,1.0,2.0,1.0,0.0,342.0
83.0,78.0,2.0,3.0,3.0,0.0,764.0
83.0,78.0,2.0,3.0,3.0,0.0,764.0
48.0,60.0,1.0,2.0,2.0,0.0,500.0
70.0,90.0,1.0,2.0,1.0,,1150.0
60.0,72.0,1.0,2.0,1.0,,599.0
90.0,200.0,1.0,3.0,2.0,,1680.0
105.0,121.0,2.0,3.0,3.0,0.0,1560.0
77.0,84.0,2.0,3.0,3.0,2.0,1180.0
77.0,84.0,2.0,3.0,2.0,0.0,1180.0
60.0,95.0,2.0,3.0,2.0,0.0,990.0
91.0,84.0,2.0,3.0,2.0,0.0,800.0
40.0,72.0,1.0,2.0,1.0,0.0,718.0
64.0,60.0,2.0,3.0,2.0,0.0,1390.0
83.0,78.0,2.0,3.0,3.0,0.0,764.0
115.0,86.0,2.0,4.0,3.0,0.0,1200.0
115.0,86.0,2.0,3.0,3.0,0.0,1310.0
36.0,72.0,1.0,2.0,1.0,,680.0
36.0,72.0,1.0,2.0,1.0,,680.0
90.0,165.0,1.0,3.0,2.0,,1200.0
36.0,72.0,1.0,2.0,1.0,,680.0
36.0,72.0,1.0,2.0,1.0,,680.0
90.0,165.0,1.0,3.0,2.0,,1200.0
36.0,72.0,1.0,2.0,1.0,,680.0
90.0,165.0,1.0,3.0,2.0,,1200.0
36.0,60.0,1.0,2.0,1.0,0.0,390.0
41.0,70.0,1.0,2.0,1.0,0.0,455.0
65.0,125.0,2.0,3.0,2.0,0.0,1010.0
48.0,96.0,1.0,2.0,1.0,0.0,690.0
60.0,72.0,2.0,3.0,2.0,0.0,988.0
55.0,60.0,1.0,2.0,1.0,3.0,465.0
55.0,60.0,2.0,2.0,2.0,3.0,480.0
48.0,72.0,1.0,2.0,1.0,0.0,625.0
310.0,210.0,2.0,4.0,4.0,7.0,3000.0
77.0,84.0,2.0,3.0,2.0,1.0,1180.0
90.0,105.0,2.0,2.0,2.0,,1080.0
70.0,90.0,1.0,2.0,1.0,15.0,1050.0
90.0,105.0,2.0,2.0,2.0,,1080.0
70.0,90.0,1.0,2.0,1.0,,1150.0
90.0,105.0,2.0,2.0,2.0,,1080.0
90.0,105.0,2.0,2.0,2.0,,1080.0
70.0,90.0,1.0,2.0,1.0,,1150.0
70.0,90.0,1.0,2.0,1.0,,1150.0
70.0,90.0,1.0,2.0,1.0,,1150.0
77.0,84.0,1.0,3.0,3.0,0.0,1210.0
77.0,84.0,2.0,3.0,3.0,1.0,1180.0
70.0,90.0,1.0,2.0,1.0,13.0,1150.0
77.0,84.0,2.0,3.0,3.0,,1180.0
52.0,89.0,1.0,2.0,1.0,0.0,968.0
180.0,165.0,2.0,4.0,3.0,7.0,1650.0
77.0,84.0,2.0,3.0,3.0,3.0,1180.0
55.0,80.0,1.0,2.0,1.0,0.0,720.0
105.0,84.0,2.0,4.0,3.0,0.0,1300.0
84.0,101.0,2.0,3.0,2.0,0.0,1190.0
77.0,84.0,2.0,3.0,2.0,0.0,1180.0
77.0,87.0,2.0,3.0,3.0,0.0,1300.0
55.0,80.0,1.0,2.0,1.0,0.0,600.0
45.0,70.0,1.0,2.0,1.0,0.0,500.0
72.0,82.0,2.0,3.0,3.0,0.0,1100.0
130.0,92.0,2.0,3.0,3.0,4.0,1280.0
300.0,216.0,3.0,3.0,4.0,10.0,3700.0
88.0,95.0,1.0,4.0,2.0,0.0,1070.0
36.0,52.0,1.0,2.0,1.0,0.0,476.0
120.0,70.0,2.0,3.0,3.0,0.0,968.0
65.0,70.0,1.0,3.0,2.0,0.0,884.0
140.0,95.0,2.0,4.0,3.0,0.0,1180.0
136.0,183.0,2.0,5.0,4.0,0.0,4040.0
172.0,180.0,1.0,3.0,3.0,12.0,1100.0
250.0,175.0,2.0,3.0,2.0,18.0,2250.0
113.0,115.0,1.0,3.0,2.0,,1800.0
76.0,97.0,1.0,2.0,1.0,4.0,800.0
85.0,70.0,2.0,3.0,2.0,0.0,920.0
165.0,91.0,3.0,4.0,4.0,0.0,1970.0
110.0,178.0,1.0,3.0,3.0,5.0,1990.0
350.0,760.0,1.0,4.0,2.0,37.0,3950.0
150.0,154.0,1.0,4.0,3.0,5.0,1250.0
338.0,707.0,2.0,6.0,4.0,12.0,5300.0
80.0,75.0,2.0,3.0,3.0,0.0,1110.0
165.0,91.0,3.0,3.0,4.0,0.0,1870.0
156.0,118.0,2.0,3.0,3.0,,1590.0
156.0,118.0,2.0,3.0,3.0,,1620.0
47.0,64.0,1.0,2.0,1.0,0.0,500.0
54.0,78.0,1.0,2.0,1.0,0.0,750.0
53.0,65.0,2.0,2.0,2.0,0.0,600.0
70.0,97.0,1.0,2.0,1.0,,799.0
70.0,97.0,1.0,2.0,1.0,,799.0
70.0,97.0,1.0,2.0,1.0,,799.0
80.0,96.0,2.0,3.0,2.0,0.0,959.0
70.0,70.0,2.0,3.0,2.0,0.0,774.0
90.0,80.0,2.0,3.0,2.0,1.0,995.0
71.0,112.0,2.0,2.0,2.0,,1400.0
90.0,72.0,2.0,3.0,2.0,0.0,1050.0
70.0,100.0,2.0,3.0,2.0,0.0,975.0
50.0,72.0,1.0,2.0,1.0,6.0,620.0
80.0,72.0,2.0,3.0,2.0,0.0,959.0
66.0,100.0,1.0,3.0,2.0,0.0,875.0
50.0,72.0,1.0,2.0,1.0,2.0,600.0
63.0,42.0,2.0,3.0,2.0,0.0,807.0
50.0,60.0,1.0,3.0,1.0,0.0,580.0
45.0,63.0,1.0,2.0,1.0,0.0,679.0
80.0,72.0,2.0,3.0,2.0,0.0,900.0
90.0,70.0,2.0,3.0,2.0,,849.0
66.0,75.0,2.0,3.0,2.0,0.0,880.0
58.0,65.0,2.0,2.0,2.0,0.0,695.0
36.0,60.0,1.0,2.0,1.0,0.0,465.0
62.0,42.0,2.0,2.0,2.0,0.0,857.0
45.0,72.0,1.0,2.0,1.0,0.0,650.0
140.0,175.0,1.0,4.0,3.0,0.0,145.0
250.0,300.0,2.0,4.0,4.0,,1990.0
71.0,99.0,1.0,3.0,3.0,5.0,675.0
57.0,66.0,1.0,2.0,1.0,14.0,350.0
57.0,66.0,1.0,2.0,1.0,15.0,350.0
252.0,250.0,2.0,5.0,4.0,7.0,2790.0
252.0,250.0,2.0,5.0,4.0,7.0,2790.0
252.0,250.0,2.0,5.0,4.0,7.0,2790.0
54.0,78.0,1.0,2.0,1.0,0.0,750.0
42.0,70.0,1.0,2.0,1.0,0.0,400.0
133.0,175.0,1.0,4.0,3.0,22.0,1350.0
133.0,175.0,1.0,4.0,3.0,22.0,1350.0
54.0,78.0,1.0,2.0,1.0,1.0,750.0
40.0,60.0,2.0,2.0,1.0,0.0,550.0
54.0,78.0,1.0,3.0,2.0,0.0,700.0
45.0,63.0,1.0,2.0,1.0,1.0,682.0
300.0,200.0,2.0,3.0,3.0,8.0,2300.0
90.0,165.0,1.0,3.0,2.0,,1200.0
350.0,382.0,2.0,4.0,3.0,7.0,4300.0
376.0,612.0,2.0,4.0,4.0,11.0,4500.0
65.0,112.0,1.0,3.0,2.0,9.0,1250.0
127.0,160.0,2.0,3.0,2.0,4.0,2300.0
127.0,160.0,1.0,3.0,2.0,4.0,2200.0
36.0,60.0,1.0,2.0,1.0,0.0,410.0
101.0,105.0,3.0,4.0,3.0,0.0,1960.0
42.0,66.0,1.0,2.0,2.0,3.0,875.0
58.0,60.0,1.0,2.0,2.0,0.0,695.0
170.0,140.0,2.0,4.0,3.0,1.0,1800.0
90.0,72.0,2.0,3.0,2.0,0.0,1050.0
90.0,72.0,2.0,3.0,2.0,0.0,1050.0
90.0,72.0,2.0,3.0,2.0,0.0,1050.0
90.0,72.0,2.0,3.0,2.0,0.0,1050.0
90.0,72.0,2.0,3.0,2.0,0.0,1050.0
100.0,105.0,2.0,3.0,2.0,4.0,1250.0
300.0,182.0,2.0,5.0,5.0,12.0,1690.0
170.0,92.0,2.0,3.0,3.0,0.0,1620.0
47.0,84.0,1.0,2.0,1.0,1.0,735.0
160.0,92.0,2.0,3.0,3.0,0.0,1620.0
200.0,120.0,3.0,4.0,2.0,1.0,2100.0
48.0,92.0,1.0,2.0,1.0,0.0,799.0
285.0,160.0,2.0,4.0,2.0,,3400.0
165.0,123.0,2.0,3.0,3.0,1.0,1250.0
109.0,77.0,2.0,3.0,2.0,0.0,1200.0
90.0,72.0,2.0,3.0,2.0,0.0,1050.0
205.0,160.0,2.0,3.0,2.0,,1350.0
46.0,78.0,1.0,3.0,2.0,0.0,700.0
154.0,154.0,1.0,3.0,2.0,,2200.0
55.0,75.0,2.0,2.0,1.0,0.0,703.0
108.0,72.0,2.0,3.0,2.0,0.0,1050.0
108.0,72.0,2.0,3.0,2.0,0.0,1050.0
87.0,66.0,2.0,3.0,2.0,,950.0
150.0,136.0,2.0,3.0,3.0,,2190.0
87.0,66.0,2.0,3.0,2.0,,950.0
99.0,75.0,1.0,3.0,2.0,0.0,999.0
120.0,104.0,1.0,3.0,3.0,0.0,2100.0
42.0,72.0,1.0,2.0,1.0,0.0,545.0
121.0,80.0,1.0,3.0,2.0,,725.0
29.0,60.0,1.0,2.0,1.0,12.0,463.0
165.0,98.0,2.0,4.0,2.0,,575.0
135.0,108.0,1.0,2.0,1.0,6.0,320.0
45.0,72.0,1.0,2.0,1.0,0.0,468.0
29.0,60.0,1.0,2.0,1.0,0.0,168.0
75.0,90.0,1.0,3.0,1.0,0.0,875.0
36.0,72.0,1.0,2.0,1.0,0.0,496.0
63.0,53.0,2.0,3.0,2.0,0.0,779.0
69.0,90.0,1.0,3.0,1.0,,800.0
69.0,90.0,1.0,3.0,1.0,,800.0
83.0,78.0,2.0,3.0,3.0,0.0,764.0
200.0,186.0,2.0,4.0,3.0,,1600.0
140.0,105.0,1.0,4.0,3.0,,1150.0
83.0,78.0,2.0,3.0,3.0,0.0,764.0
40.0,60.0,1.0,2.0,2.0,1.0,42.0
150.0,180.0,1.0,2.0,2.0,6.0,1350.0
230.0,210.0,2.0,4.0,2.0,6.0,2200.0
71.0,118.0,2.0,3.0,3.0,,2000.0
48.0,75.0,1.0,2.0,1.0,0.0,625.0
196.0,150.0,2.0,4.0,2.0,22.0,1000.0
500.0,939.0,1.0,36.0,36.0,,9000.0
100.0,119.0,2.0,2.0,2.0,5.0,1600.0
36.0,72.0,1.0,2.0,1.0,,680.0
45.0,72.0,1.0,2.0,1.0,1.0,490.0
54.0,97.0,1.0,3.0,1.0,0.0,665.0
54.0,97.0,1.0,2.0,1.0,0.0,445.0
54.0,97.0,1.0,2.0,1.0,0.0,570.0
84.0,119.0,1.0,2.0,1.0,1.0,1050.0
180.0,250.0,1.0,2.0,1.0,11.0,1500.0
54.0,97.0,1.0,3.0,1.0,0.0,665.0
54.0,97.0,1.0,3.0,1.0,0.0,665.0
87.0,66.0,2.0,3.0,2.0,,950.0
60.0,72.0,1.0,2.0,1.0,0.0,650.0
60.0,120.0,1.0,3.0,1.0,6.0,975.0
70.0,97.0,1.0,2.0,1.0,,799.0
300.0,216.0,3.0,3.0,4.0,10.0,3700.0
87.0,66.0,2.0,3.0,2.0,,950.0
36.0,60.0,1.0,2.0,1.0,0.0,350.0
66.0,40.0,1.0,2.0,1.0,0.0,524.0
45.0,60.0,1.0,2.0,1.0,0.0,325.0
45.0,60.0,1.0,2.0,1.0,0.0,325.0
45.0,60.0,1.0,3.0,1.0,,335.0
45.0,60.0,1.0,2.0,1.0,,310.0
88.0,120.0,1.0,3.0,2.0,,1500.0
88.0,120.0,1.0,3.0,2.0,,1500.0
39.0,72.0,1.0,2.0,1.0,0.0,6640.0
61.0,36.0,1.0,2.0,1.0,0.0,327.0
61.0,36.0,1.0,2.0,1.0,0.0,332.0
40.0,60.0,1.0,2.0,1.0,,395.0
29.0,60.0,1.0,2.0,1.0,0.0,168.0
72.0,72.0,1.0,2.0,1.0,22.0,480.0
40.0,60.0,1.0,2.0,1.0,4.0,395.0
62.0,62.0,1.0,2.0,1.0,,360.0
45.0,72.0,1.0,2.0,1.0,,350.0
75.0,60.0,1.0,3.0,2.0,,370.0
45.0,60.0,1.0,2.0,1.0,,320.0
60.0,55.0,2.0,2.0,1.0,,853.0
36.0,60.0,1.0,2.0,1.0,,550.0
230.0,162.0,2.0,4.0,4.0,,2200.0
200.0,220.0,2.0,4.0,2.0,12.0,1950.0
85.0,90.0,2.0,3.0,2.0,,1960.0
150.0,90.0,2.0,4.0,2.0,,1150.0
84.0,120.0,1.0,2.0,3.0,2.0,1800.0
150.0,130.0,1.0,3.0,2.0,18.0,1400.0
150.0,130.0,1.0,3.0,2.0,18.0,1400.0
81.0,90.0,1.0,3.0,2.0,,1250.0
280.0,255.0,2.0,5.0,3.0,6.0,3250.0
550.0,337.0,2.0,5.0,4.0,,6750.0
400.0,343.0,2.0,5.0,5.0,,5000.0
110.0,90.0,2.0,2.0,1.0,,850.0
135.0,215.0,1.0,3.0,2.0,5.0,1850.0
90.0,105.0,2.0,2.0,2.0,,1080.0
90.0,165.0,1.0,3.0,2.0,,1200.0
36.0,73.0,1.0,2.0,1.0,0.0,390.0
211.0,225.0,2.0,6.0,4.0,,2750.0
128.0,160.0,2.0,4.0,4.0,0.0,2750.0
150.0,153.0,1.0,3.0,2.0,,590.0
123.0,220.0,1.0,3.0,2.0,,990.0
96.0,216.0,1.0,2.0,1.0,,2000.0
86.0,55.0,1.0,2.0,1.0,0.0,635.0
41.0,78.0,1.0,2.0,1.0,0.0,475.0
80.0,60.0,1.0,3.0,2.0,,525.0
80.0,60.0,1.0,3.0,2.0,,525.0
60.0,60.0,1.0,,,,375.0
90.0,65.0,2.0,3.0,2.0,10.0,1100.0
100.0,216.0,1.0,2.0,1.0,,2000.0
83.0,78.0,2.0,3.0,3.0,0.0,764.0
83.0,78.0,2.0,3.0,3.0,0.0,764.0
85.0,113.0,2.0,4.0,3.0,0.0,920.0
70.0,70.0,2.0,3.0,2.0,0.0,774.0
160.0,125.0,2.0,3.0,2.0,0.0,1700.0
300.0,209.0,2.0,4.0,4.0,5.0,2800.0
300.0,209.0,2.0,6.0,5.0,5.0,2800.0
450.0,500.0,3.0,6.0,4.0,9.0,6000.0
150.0,102.0,2.0,3.0,2.0,5.0,1700.0
300.0,209.0,2.0,6.0,5.0,,2800.0
80.0,98.0,1.0,2.0,2.0,7.0,1250.0
180.0,181.0,2.0,3.0,3.0,1.0,2850.0
650.0,487.0,2.0,11.0,4.0,21.0,4150.000000000001
135.0,90.0,2.0,3.0,3.0,4.0,1800.0
70.0,90.0,2.0,2.0,2.0,,1000.0
54.0,90.0,1.0,2.0,1.0,6.0,800.0
120.0,120.0,1.0,3.0,1.0,,895.0
60.0,60.0,1.0,1.0,1.0,,450.0
88.0,120.0,1.0,3.0,2.0,2.0,1500.0
54.0,90.0,1.0,2.0,1.0,,590.0
54.0,90.0,1.0,2.0,1.0,,590.0
88.0,120.0,1.0,2.0,1.0,,1500.0
130.0,105.0,1.0,3.0,2.0,,1250.0
130.0,105.0,2.0,3.0,2.0,,1250.0
63.0,56.0,2.0,3.0,2.0,0.0,970.0
63.0,53.0,2.0,3.0,2.0,0.0,779.0
54.0,90.0,1.0,2.0,1.0,4.0,550.0
54.0,90.0,1.0,2.0,1.0,,550.0
60.0,72.0,1.0,2.0,1.0,10.0,375.0
100.0,120.0,1.0,,,,550.0
35.0,75.0,1.0,2.0,1.0,,550.0
45.0,72.0,1.0,2.0,1.0,0.0,455.0
90.0,120.0,1.0,2.0,1.0,2.0,900.0
36.0,60.0,1.0,,,0.0,390.0
68.0,82.0,2.0,3.0,3.0,1.0,967.0
150.0,240.0,1.0,5.0,2.0,,1500.0
180.0,200.0,2.0,5.0,4.0,8.0,2300.0
30.0,60.0,1.0,2.0,1.0,0.0,390.0
40.0,60.0,1.0,2.0,1.0,0.0,409.0
30.0,60.0,1.0,2.0,1.0,0.0,168.0
36.0,60.0,1.0,2.0,1.0,0.0,300.0
100.0,123.0,1.0,4.0,1.0,,1650.0
100.0,120.0,1.0,3.0,2.0,8.0,450.0
100.0,150.0,1.0,3.0,2.0,,900.0
100.0,50.0,2.0,3.0,2.0,0.0,750.0
90.0,72.0,2.0,3.0,2.0,0.0,1050.0
200.0,194.0,1.0,3.0,2.0,,2500.0
45.0,52.0,1.0,2.0,1.0,0.0,300.0
150.0,90.0,2.0,4.0,2.0,5.0,795.0
108.0,72.0,2.0,3.0,2.0,0.0,1000.0
66.0,136.0,1.0,3.0,2.0,12.0,1900.0
77.0,84.0,2.0,3.0,3.0,1.0,1180.0
95.0,105.0,2.0,4.0,3.0,,1430.0
77.0,84.0,2.0,3.0,2.0,0.0,1180.0
38.0,60.0,1.0,2.0,1.0,0.0,400.0
62.0,84.0,2.0,2.0,2.0,0.0,1470.0
54.0,78.0,1.0,2.0,2.0,7.0,440.0
36.0,72.0,1.0,2.0,1.0,1.0,324.0
83.0,78.0,2.0,3.0,3.0,0.0,764.0
83.0,78.0,2.0,3.0,3.0,0.0,764.0
83.0,78.0,2.0,3.0,3.0,0.0,764.0
195.0,150.0,2.0,3.0,3.0,1.0,1900.0
68.0,50.0,2.0,2.0,2.0,0.0,650.0
272.0,158.0,2.0,4.0,3.0,3.0,1450.0
68.0,50.0,2.0,2.0,2.0,0.0,650.0
80.0,108.0,1.0,3.0,2.0,0.0,925.0
87.0,66.0,2.0,3.0,2.0,,950.0
150.0,95.0,2.0,4.0,2.0,,1300.0
150.0,95.0,2.0,4.0,2.0,14.0,1350.0
30.0,66.0,1.0,2.0,1.0,0.0,490.0
100.0,120.0,1.0,3.0,2.0,,650.0
60.0,91.0,1.0,2.0,1.0,22.0,770.0
85.0,100.0,1.0,2.0,1.0,,720.0
100.0,66.0,2.0,3.0,2.0,,875.0
100.0,66.0,2.0,3.0,2.0,,875.0
100.0,66.0,2.0,3.0,2.0,,875.0
135.0,72.0,2.0,3.0,2.0,1.0,1490.0
250.0,168.0,1.0,4.0,3.0,4.0,2750.0
110.0,72.0,1.0,3.0,2.0,,1900.0
90.0,113.0,2.0,,,1.0,850.0
110.0,72.0,2.0,3.0,2.0,2.0,1900.0
400.0,200.0,3.0,3.0,4.0,7.0,2500.0
165.0,150.0,2.0,5.0,3.0,0.0,1590.0
250.0,179.0,2.0,5.0,3.0,6.0,3100.0
55.0,78.0,1.0,4.0,2.0,0.0,700.0
48.0,60.0,1.0,2.0,,5.0,930.0
105.0,90.0,2.0,3.0,3.0,,2000.0
165.0,126.0,2.0,6.0,4.0,13.0,2700.0
36.0,60.0,1.0,2.0,1.0,0.0,420.0
90.0,107.0,1.0,3.0,1.0,,1200.0
143.0,200.0,2.0,3.0,2.0,,2300.0
156.0,164.0,1.0,7.0,2.0,22.0,1950.0
110.0,105.0,2.0,2.0,2.0,,2000.0
83.0,78.0,2.0,3.0,3.0,0.0,764.0
83.0,78.0,2.0,3.0,3.0,0.0,764.0
