price_in_rp,building_size_m2,land_size_m2,floors,bedrooms,bathrooms,building_age
779000000.0,63.0,54.0,2.0,3.0,2.0,0.0
775000000.0,60.0,66.0,1.0,2.0,1.0,
2150000000.0,157.0,144.0,2.0,3.0,3.0,8.0
779000000.0,53.0,63.0,1.0,,,0.0
1750000000.0,56.0,179.0,2.0,2.0,2.0,2.0
750000000.0,75.0,94.0,1.0,2.0,1.0,22.0
1250000000.0,136.0,125.0,2.0,5.0,4.0,
870000000.0,70.0,94.0,1.0,3.0,2.0,7.0
1500000000.0,80.0,126.0,2.0,2.0,2.0,
1500000000.0,105.0,105.0,2.0,3.0,2.0,
4300000000.0,200.0,325.0,3.0,4.0,4.0,
1300000000.0,90.0,90.0,2.0,2.0,2.0,
1300000000.0,90.0,90.0,2.0,2.0,2.0,
1800000000.0,80.0,133.0,2.0,2.0,2.0,
520000000.0,60.0,36.0,1.0,3.0,1.0,
1300000000.0,56.0,84.0,2.0,2.0,2.0,4.0
685000000.0,110.0,94.0,1.0,2.0,1.0,6.0
930000000.0,70.0,105.0,1.0,2.0,1.0,6.0
685000000.0,110.0,94.0,1.0,2.0,1.0,6.0
2100000000.0,150.0,180.0,2.0,4.0,3.0,
520000000.0,45.0,60.0,1.0,3.0,1.0,
520000000.0,45.0,60.0,1.0,3.0,1.0,
1200000000.0,63.0,119.0,1.0,2.0,1.0,7.0
1200000000.0,63.0,119.0,1.0,2.0,1.0,
2170000000.0,121.0,144.0,1.0,,,
1450000000.0,225.0,131.0,2.0,4.0,3.0,
1200000000.0,53.0,90.0,2.0,2.0,2.0,
1450000000.0,225.0,131.0,2.0,4.0,3.0,
1400000000.0,69.0,108.0,2.0,2.0,2.0,
620000000.0,70.0,96.0,1.0,2.0,1.0,
1450000000.0,110.0,144.0,1.0,2.0,2.0,
1800000000.0,120.0,144.0,1.0,3.0,2.0,
1600000000.0,260.0,160.0,2.0,3.0,2.0,
3000000000.0,280.0,160.0,2.0,4.0,5.0,
3000000000.0,280.0,160.0,2.0,4.0,5.0,
1600000000.0,260.0,120.0,2.0,3.0,2.0,
1800000000.0,120.0,144.0,1.0,3.0,2.0,
2700000000.0,175.0,270.0,2.0,3.0,3.0,
1400000000.0,69.0,108.0,2.0,2.0,2.0,
970000000.0,63.0,53.0,2.0,3.0,2.0,0.0
575000000.0,55.0,60.0,2.0,2.0,1.0,0.0
900000000.0,69.0,72.0,2.0,3.0,2.0,2.0
1250000000.0,110.0,60.0,3.0,3.0,3.0,0.0
525000000.0,42.0,72.0,1.0,3.0,1.0,0.0
510000000.0,38.0,70.0,1.0,2.0,1.0,0.0
895000000.0,120.0,92.0,2.0,2.0,2.0,7.0
2500000000.0,110.0,135.0,2.0,4.0,3.0,
1650000000.0,180.0,165.0,2.0,4.0,3.0,7.0
690000000.0,75.0,94.0,1.0,1.0,1.0,1.0
750000000.0,54.0,78.0,1.0,2.0,1.0,1.0
764000000.0,83.0,78.0,2.0,3.0,3.0,0.0
764000000.0,83.0,78.0,2.0,3.0,3.0,0.0
42000000.0,40.0,60.0,1.0,2.0,2.0,1.0
1400000000.0,150.0,77.0,3.0,3.0,3.0,
500000000.0,48.0,60.0,2.0,2.0,2.0,0.0
342000000.0,63.0,66.0,1.0,2.0,1.0,0.0
764000000.0,83.0,78.0,2.0,3.0,3.0,0.0
764000000.0,83.0,78.0,2.0,3.0,3.0,0.0
500000000.0,48.0,60.0,1.0,2.0,2.0,0.0
1150000000.0,70.0,90.0,1.0,2.0,1.0,
599000000.0,60.0,72.0,1.0,2.0,1.0,
1680000000.0,90.0,200.0,1.0,3.0,2.0,
1560000000.0,105.0,121.0,2.0,3.0,3.0,0.0
1180000000.0,77.0,84.0,2.0,3.0,3.0,2.0
1180000000.0,77.0,84.0,2.0,3.0,2.0,0.0
990000000.0,60.0,95.0,2.0,3.0,2.0,0.0
800000000.0,91.0,84.0,2.0,3.0,2.0,0.0
718000000.0,40.0,72.0,1.0,2.0,1.0,0.0
1390000000.0,64.0,60.0,2.0,3.0,2.0,0.0
764000000.0,83.0,78.0,2.0,3.0,3.0,0.0
1200000000.0,115.0,86.0,2.0,4.0,3.0,0.0
1310000000.0,115.0,86.0,2.0,3.0,3.0,0.0
680000000.0,36.0,72.0,1.0,2.0,1.0,
680000000.0,36.0,72.0,1.0,2.0,1.0,
1200000000.0,90.0,165.0,1.0,3.0,2.0,
680000000.0,36.0,72.0,1.0,2.0,1.0,
680000000.0,36.0,72.0,1.0,2.0,1.0,
1200000000.0,90.0,165.0,1.0,3.0,2.0,
680000000.0,36.0,72.0,1.0,2.0,1.0,
1200000000.0,90.0,165.0,1.0,3.0,2.0,
390000000.0,36.0,60.0,1.0,2.0,1.0,0.0
455000000.0,41.0,70.0,1.0,2.0,1.0,0.0
1010000000.0,65.0,125.0,2.0,3.0,2.0,0.0
690000000.0,48.0,96.0,1.0,2.0,1.0,0.0
988000000.0,60.0,72.0,2.0,3.0,2.0,0.0
465000000.0,55.0,60.0,1.0,2.0,1.0,3.0
480000000.0,55.0,60.0,2.0,2.0,2.0,3.0
625000000.0,48.0,72.0,1.0,2.0,1.0,0.0
3000000000.0,310.0,210.0,2.0,4.0,4.0,7.0
1180000000.0,77.0,84.0,2.0,3.0,2.0,1.0
1080000000.0,90.0,105.0,2.0,2.0,2.0,
1050000000.0,70.0,90.0,1.0,2.0,1.0,15.0
1080000000.0,90.0,105.0,2.0,2.0,2.0,
1150000000.0,70.0,90.0,1.0,2.0,1.0,
1080000000.0,90.0,105.0,2.0,2.0,2.0,
1080000000.0,90.0,105.0,2.0,2.0,2.0,
1150000000.0,70.0,90.0,1.0,2.0,1.0,
1150000000.0,70.0,90.0,1.0,2.0,1.0,
1150000000.0,70.0,90.0,1.0,2.0,1.0,
1210000000.0,77.0,84.0,1.0,3.0,3.0,0.0
1180000000.0,77.0,84.0,2.0,3.0,3.0,1.0
1150000000.0,70.0,90.0,1.0,2.0,1.0,13.0
1180000000.0,77.0,84.0,2.0,3.0,3.0,
968000000.0,52.0,89.0,1.0,2.0,1.0,0.0
1650000000.0,180.0,165.0,2.0,4.0,3.0,7.0
1180000000.0,77.0,84.0,2.0,3.0,3.0,3.0
720000000.0,55.0,80.0,1.0,2.0,1.0,0.0
1300000000.0,105.0,84.0,2.0,4.0,3.0,0.0
1190000000.0,84.0,101.0,2.0,3.0,2.0,0.0
1180000000.0,77.0,84.0,2.0,3.0,2.0,0.0
1300000000.0,77.0,87.0,2.0,3.0,3.0,0.0
600000000.0,55.0,80.0,1.0,2.0,1.0,0.0
500000000.0,45.0,70.0,1.0,2.0,1.0,0.0
1100000000.0,72.0,82.0,2.0,3.0,3.0,0.0
1280000000.0,130.0,92.0,2.0,3.0,3.0,4.0
3700000000.0,300.0,216.0,3.0,3.0,4.0,10.0
1070000000.0,88.0,95.0,1.0,4.0,2.0,0.0
476000000.0,36.0,52.0,1.0,2.0,1.0,0.0
968000000.0,120.0,70.0,2.0,3.0,3.0,0.0
884000000.0,65.0,70.0,1.0,3.0,2.0,0.0
1180000000.0,140.0,95.0,2.0,4.0,3.0,0.0
4040000000.0,136.0,183.0,2.0,5.0,4.0,0.0
1100000000.0,172.0,180.0,1.0,3.0,3.0,12.0
2250000000.0,250.0,175.0,2.0,3.0,2.0,18.0
1800000000.0,113.0,115.0,1.0,3.0,2.0,
800000000.0,76.0,97.0,1.0,2.0,1.0,4.0
920000000.0,85.0,70.0,2.0,3.0,2.0,0.0
1970000000.0,165.0,91.0,3.0,4.0,4.0,0.0
1990000000.0,110.0,178.0,1.0,3.0,3.0,5.0
3950000000.0,350.0,760.0,1.0,4.0,2.0,37.0
1250000000.0,150.0,154.0,1.0,4.0,3.0,5.0
5300000000.0,338.0,707.0,2.0,6.0,4.0,12.0
1110000000.0,80.0,75.0,2.0,3.0,3.0,0.0
1870000000.0,165.0,91.0,3.0,3.0,4.0,0.0
1590000000.0,156.0,118.0,2.0,3.0,3.0,
1620000000.0,156.0,118.0,2.0,3.0,3.0,
500000000.0,47.0,64.0,1.0,2.0,1.0,0.0
750000000.0,54.0,78.0,1.0,2.0,1.0,0.0
600000000.0,53.0,65.0,2.0,2.0,2.0,0.0
799000000.0,70.0,97.0,1.0,2.0,1.0,
799000000.0,70.0,97.0,1.0,2.0,1.0,
799000000.0,70.0,97.0,1.0,2.0,1.0,
959000000.0,80.0,96.0,2.0,3.0,2.0,0.0
774000000.0,70.0,70.0,2.0,3.0,2.0,0.0
995000000.0,90.0,80.0,2.0,3.0,2.0,1.0
1400000000.0,71.0,112.0,2.0,2.0,2.0,
1050000000.0,90.0,72.0,2.0,3.0,2.0,0.0
975000000.0,70.0,100.0,2.0,3.0,2.0,0.0
620000000.0,50.0,72.0,1.0,2.0,1.0,6.0
959000000.0,80.0,72.0,2.0,3.0,2.0,0.0
875000000.0,66.0,100.0,1.0,3.0,2.0,0.0
600000000.0,50.0,72.0,1.0,2.0,1.0,2.0
807000000.0,63.0,42.0,2.0,3.0,2.0,0.0
580000000.0,50.0,60.0,1.0,3.0,1.0,0.0
679000000.0,45.0,63.0,1.0,2.0,1.0,0.0
900000000.0,80.0,72.0,2.0,3.0,2.0,0.0
849000000.0,90.0,70.0,2.0,3.0,2.0,
880000000.0,66.0,75.0,2.0,3.0,2.0,0.0
695000000.0,58.0,65.0,2.0,2.0,2.0,0.0
465000000.0,36.0,60.0,1.0,2.0,1.0,0.0
857000000.0,62.0,42.0,2.0,2.0,2.0,0.0
650000000.0,45.0,72.0,1.0,2.0,1.0,0.0
145000000.0,140.0,175.0,1.0,4.0,3.0,0.0
1990000000.0,250.0,300.0,2.0,4.0,4.0,
675000000.0,71.0,99.0,1.0,3.0,3.0,5.0
350000000.0,57.0,66.0,1.0,2.0,1.0,14.0
350000000.0,57.0,66.0,1.0,2.0,1.0,15.0
2790000000.0,252.0,250.0,2.0,5.0,4.0,7.0
2790000000.0,252.0,250.0,2.0,5.0,4.0,7.0
2790000000.0,252.0,250.0,2.0,5.0,4.0,7.0
750000000.0,54.0,78.0,1.0,2.0,1.0,0.0
400000000.0,42.0,70.0,1.0,2.0,1.0,0.0
1350000000.0,133.0,175.0,1.0,4.0,3.0,22.0
1350000000.0,133.0,175.0,1.0,4.0,3.0,22.0
750000000.0,54.0,78.0,1.0,2.0,1.0,1.0
550000000.0,40.0,60.0,2.0,2.0,1.0,0.0
700000000.0,54.0,78.0,1.0,3.0,2.0,0.0
682000000.0,45.0,63.0,1.0,2.0,1.0,1.0
2300000000.0,300.0,200.0,2.0,3.0,3.0,8.0
1200000000.0,90.0,165.0,1.0,3.0,2.0,
4300000000.0,350.0,382.0,2.0,4.0,3.0,7.0
4500000000.0,376.0,612.0,2.0,4.0,4.0,11.0
1250000000.0,65.0,112.0,1.0,3.0,2.0,9.0
2300000000.0,127.0,160.0,2.0,3.0,2.0,4.0
2200000000.0,127.0,160.0,1.0,3.0,2.0,4.0
410000000.0,36.0,60.0,1.0,2.0,1.0,0.0
1960000000.0,101.0,105.0,3.0,4.0,3.0,0.0
875000000.0,42.0,66.0,1.0,2.0,2.0,3.0
695000000.0,58.0,60.0,1.0,2.0,2.0,0.0
1800000000.0,170.0,140.0,2.0,4.0,3.0,1.0
1050000000.0,90.0,72.0,2.0,3.0,2.0,0.0
1050000000.0,90.0,72.0,2.0,3.0,2.0,0.0
1050000000.0,90.0,72.0,2.0,3.0,2.0,0.0
1050000000.0,90.0,72.0,2.0,3.0,2.0,0.0
1050000000.0,90.0,72.0,2.0,3.0,2.0,0.0
1250000000.0,100.0,105.0,2.0,3.0,2.0,4.0
1690000000.0,300.0,182.0,2.0,5.0,5.0,12.0
1620000000.0,170.0,92.0,2.0,3.0,3.0,0.0
735000000.0,47.0,84.0,1.0,2.0,1.0,1.0
1620000000.0,160.0,92.0,2.0,3.0,3.0,0.0
2100000000.0,200.0,120.0,3.0,4.0,2.0,1.0
799000000.0,48.0,92.0,1.0,2.0,1.0,0.0
3400000000.0,285.0,160.0,2.0,4.0,2.0,
